Date,ContestNumber,Word,NumberOfReportedResults,NumberInHardMode,1Try,2Tries,3Tries,4Tries,5Tries,6Tries,7OrMoreTriesX,word,count,,,
2/21/2022,247,other,278731,10887,1,9,26,30,21,10,2,other,978481319,,0.472067039,mean
3/21/2022,275,their,173636,9200,2,14,36,30,13,4,0,their,782849411,,0.783622041,stddev
11/17/2022,516,there,27465,2530,0,14,35,33,14,4,0,there,701170205,,,
1/29/2022,224,could,313220,11592,1,7,29,35,20,8,1,could,302311431,,,
2/1/2022,227,those,351663,13606,1,13,34,30,15,6,1,those,270014141,,,
4/10/2022,295,black,126241,7894,1,10,31,34,18,6,1,black,244690155,,,
5/17/2022,332,being,70722,5142,0,4,22,37,26,10,1,being,242783091,,,
3/12/2022,266,today,192049,9353,1,7,29,35,20,7,1,today,239271204,,,
3/28/2022,282,found,173696,10613,1,6,17,22,20,21,14,found,232005894,,,
11/4/2022,503,photo,27330,2565,0,5,34,43,15,3,0,photo,227125249,,,
7/24/2022,400,power,39813,3401,2,6,19,29,24,15,4,power,226596368,,,
3/29/2022,283,shall,149070,8494,0,3,17,30,28,17,4,shall,191963867,,,
9/8/2022,446,class,31962,3001,0,4,21,32,22,13,7,class,191087771,,,
5/22/2022,337,money,67909,4928,1,7,26,36,21,8,1,money,190205072,,,
1/19/2022,214,point,280622,7094,1,16,37,28,12,4,1,point,175527859,,,
3/17/2022,271,movie,169071,8847,1,5,18,30,26,16,3,movie,158421100,,,
5/2/2022,317,story,95643,6530,1,10,23,29,24,11,2,story,138433809,,,
7/5/2022,381,field,44578,3604,1,6,25,36,23,9,1,field,135289140,,,
7/12/2022,388,night,46910,3870,1,8,27,27,17,13,7,night,130531484,,,
8/15/2022,422,poker,35376,3180,0,4,17,30,27,17,5,poker,129054826,,,
1/31/2022,226,light,341314,13347,1,10,25,27,19,12,5,light,126699632,,,
3/9/2022,263,month,201799,9435,1,5,26,37,22,8,1,month,123027963,,,
11/23/2022,522,drive,26663,2451,1,12,32,30,18,6,1,drive,107799371,,,
12/20/2022,549,third,24137,2261,1,10,47,32,9,2,0,third,95489240,,,
3/11/2022,265,watch,226349,12400,1,6,14,18,17,24,20,watch,92006970,,,
5/24/2022,339,album,63380,4809,0,5,26,35,24,9,1,album,77914316,,,
12/12/2022,541,apply,22873,2150,0,5,28,38,22,7,1,apply,76341478,,,
10/1/2022,469,leave,28202,2696,0,4,16,34,31,12,1,leave,70957750,,,
4/27/2022,312,shown,98967,6564,0,6,26,36,22,8,1,shown,68755779,,,
3/19/2022,273,allow,156311,8515,0,5,21,32,26,14,3,allow,67052567,,,
3/13/2022,267,focus,179436,8937,1,4,23,36,24,10,1,focus,65626732,,,
7/8/2022,384,voice,42806,3484,1,5,24,35,25,9,1,voice,64600528,,,
5/19/2022,334,glass,70920,5162,0,4,19,33,27,14,3,glass,63559754,,,
11/27/2022,526,happy,25206,2356,0,6,28,39,19,6,1,happy,63471922,,,
12/25/2022,554,extra,15554,1562,1,5,20,35,28,10,1,extra,59377307,,,
6/20/2022,366,input,50484,3950,0,5,30,38,21,6,1,input,57191675,,,
10/11/2022,479,valid,28575,2752,0,4,28,38,21,8,1,valid,57094711,,,
5/14/2022,329,metal,73225,5290,1,10,31,34,18,7,1,metal,56181783,,,
10/14/2022,482,floor,28906,2752,0,3,23,44,24,6,0,floor,53759851,,,
4/22/2022,307,plant,119232,7731,2,19,39,28,10,3,0,plant,53247607,,,
8/3/2022,410,youth,38381,3327,1,5,17,31,29,15,3,youth,51426255,,,
10/10/2022,478,enjoy,26878,2654,0,3,12,29,33,20,3,enjoy,50141455,,,
2/8/2022,234,frame,336236,15369,1,10,20,24,24,17,3,frame,46079991,,,
8/29/2022,436,chief,34281,3072,1,6,32,38,18,5,0,chief,45699591,,,
11/7/2022,506,begin,26096,2439,0,6,26,36,23,7,1,begin,45434902,,,
4/12/2022,297,royal,114907,7275,1,5,24,36,23,9,1,royal,45407189,,,
11/26/2022,525,clean,26381,2424,1,17,36,31,12,3,0,clean,45381752,,,
8/12/2022,419,label,34198,3076,0,4,18,32,29,15,2,label,41359857,,,
8/21/2022,428,waste,35617,3186,1,7,19,27,24,17,5,waste,41089558,,,
9/22/2022,460,saint,34455,3119,1,14,35,29,15,5,1,saint,38929141,,,
11/22/2022,521,prime,27437,2534,1,10,26,32,21,9,1,prime,38308402,,,
9/9/2022,447,theme,32172,2909,0,8,29,40,18,4,0,theme,37219937,,,
1/27/2022,222,mount,331844,11451,1,9,29,33,19,7,1,mount,36648260,,,
10/13/2022,481,equal,27197,2677,0,5,23,35,25,11,2,equal,34832354,,,
11/5/2022,504,dream,29743,2751,5,14,31,29,15,4,1,dream,33518573,,,
10/27/2022,495,carry,27609,2615,0,4,22,35,24,12,3,carry,33056477,,,
3/8/2022,262,sweet,207473,9767,1,5,18,31,28,15,2,sweet,32311923,,,
6/5/2022,351,depth,56738,4329,0,6,28,39,20,6,1,depth,31879926,,,
5/4/2022,319,train,107750,7243,6,26,32,22,10,3,0,train,31816971,,,
1/10/2022,205,query,107134,2242,1,4,16,30,30,17,2,query,31284313,,,
12/26/2022,555,judge,20011,2043,0,2,8,16,26,33,14,judge,30905832,,,
1/11/2022,206,drink,153880,3017,1,9,35,34,16,5,1,drink,29254937,,,
3/4/2022,258,ahead,203730,9396,1,5,20,35,26,12,2,ahead,28375319,,,
9/13/2022,451,alpha,29497,2706,0,3,19,40,28,9,1,alpha,27832836,,,
10/18/2022,486,exist,28612,2805,0,5,24,38,23,8,1,exist,25349128,,,
1/25/2022,220,sugar,276404,8708,1,6,25,34,23,9,1,sugar,22450333,,,
9/18/2022,456,stick,33102,3038,1,9,36,35,14,4,0,stick,22399126,,,
2/12/2022,238,ultra,269885,9310,1,7,23,34,24,10,1,ultra,21795075,,,
1/16/2022,211,solar,209609,4955,1,9,32,32,18,7,1,solar,20423792,,,
10/15/2022,483,catch,30403,3123,0,7,18,20,15,16,23,catch,20400979,,,
9/15/2022,453,doubt,33344,3011,1,12,32,34,16,4,0,doubt,20311261,,,
8/17/2022,424,twice,35815,3173,1,6,28,38,21,6,1,twice,19945569,,,
8/20/2022,427,treat,38245,3249,1,22,32,26,14,5,1,treat,19442315,,,
5/3/2022,318,hairy,85817,5941,1,8,24,33,23,10,1,hairy,19060619,,,
5/26/2022,341,asset,63188,4733,0,7,28,34,21,8,1,asset,18178753,,,
2/9/2022,235,humor,305372,13846,1,5,22,34,25,11,2,humor,18085495,,,
12/14/2022,543,usual,20824,2048,0,3,20,39,27,10,1,usual,17044981,,,
8/31/2022,438,prize,35343,3166,0,5,12,20,32,26,5,prize,16204739,,,
2/6/2022,232,skill,311018,13716,1,3,17,33,27,16,3,skill,15835076,,,
9/4/2022,442,inter,32018,2889,0,6,25,36,23,8,1,inter,15269346,,,
