SmallerContest,ReportedResults,PDFPredict,ActualPredict,Difference,Total Difference,Total Results,,,,,,hasDup,numbUnique,percentHardMode,Date,SmallerContest,Word,ContestNumber,,NumberInHardMode,1Try,2Tries,3Tries,4Tries,5Tries,6Tries,7Tries,containsA,containsb,containsc,containsd,containse,containsf,containsg,containsh,containsi,containsj,containsk,containsl,containsm,containsn,containso,containsp,containsq,containsr,containss,containst,containsu,containsv,containsw,containsx,containsy,containsz,ProbabilityLetter1,ProbabilityLetter2,ProbabilityLetter3,ProbabilityLetter4,ProbabilityLetter5,Letter1Vowel,Letter2Vowel,Letter3Vowel,Letter4Vowel,Letter5Vowel
359,20380,0.000338433,13254.65215,7125.347855,"8,790,240.91",39164769.6,,,,,,0,5,0.09318,12/31/2022,,manly,560,,1899,0,2,17,37,29,12,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.030641,0.088579,0.049025,0.062396,0.033983,FALSE,TRUE,FALSE,FALSE,TRUE
358,21204,0.000341362,13369.36932,7834.630683,,Mean,91165.6648,,alpha,91965.91759,,0,5,0.093048,12/30/2022,,molar,559,,1973,0,4,21,38,26,9,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.030641,0.074095,0.062396,0.088579,0.074652,FALSE,TRUE,FALSE,TRUE,FALSE
357,20001,0.000344317,13485.10329,6515.896709,,Stdev,89276.60886,,beta,1.021460834,,0,5,0.095945,12/29/2022,,havoc,558,,1919,0,2,16,38,30,12,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.038997,0.088579,0.013928,0.074095,0.039554,FALSE,TRUE,FALSE,TRUE,FALSE
356,20160,0.000347298,13601.86337,6558.136631,,,,,,,,0,5,0.096081,12/28/2022,,impel,557,,1937,0,3,21,40,25,9,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056267,0.030641,0.035655,0.102507,0.062396,TRUE,FALSE,FALSE,TRUE,FALSE
355,20879,0.000350306,13719.65894,7159.341057,,formula,-0.000225675,,,,,1,4,0.096365,12/27/2022,,condo,556,,2012,0,2,17,35,29,14,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.039554,0.074095,0.049025,0.030084,0.074095,FALSE,TRUE,FALSE,FALSE,TRUE
354,20011,0.000353341,13838.49949,6172.500508,,,,,,,,0,5,0.102094,12/26/2022,,judge,555,,2043,0,2,8,16,26,33,14,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.002228,0.035655,0.030084,0.028412,0.102507,FALSE,TRUE,FALSE,FALSE,TRUE
353,15554,0.000356402,13958.39459,1595.605411,,,,,,,,0,5,0.100424,12/25/2022,,extra,554,,1562,1,5,20,35,28,10,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.102507,0.0039,0.072423,0.074652,0.088579,TRUE,FALSE,FALSE,FALSE,TRUE
352,20281,0.00035949,14079.3539,6201.646104,,demoAlpha,0.943524997,,,,,0,5,0.094226,12/24/2022,,poise,553,,1911,2,11,34,32,15,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.035655,0.074095,0.056267,0.049025,0.102507,FALSE,TRUE,TRUE,FALSE,TRUE
351,21937,0.000362606,14201.38717,7735.61283,,demoBeta,103.9980279,,,,,1,4,0.096276,12/23/2022,,aorta,552,,2112,0,7,26,35,20,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.088579,0.074095,0.074652,0.072423,0.088579,TRUE,TRUE,FALSE,FALSE,TRUE
350,20490,0.00036575,14324.50426,6165.49574,,,,,,,,1,4,0.099268,12/22/2022,,excel,551,,2034,0,1,13,34,34,15,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.102507,0.0039,0.039554,0.102507,0.062396,TRUE,FALSE,FALSE,TRUE,FALSE
349,22180,0.000368921,14448.71511,7731.284891,,,,,,,,0,5,0.091794,12/21/2022,,lunar,550,,2036,0,5,32,40,17,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.062396,0.035655,0.049025,0.088579,0.074652,FALSE,TRUE,FALSE,TRUE,FALSE
348,24137,0.000372121,14574.02976,9562.970243,,,,,,,,0,5,0.093674,12/20/2022,,third,549,,2261,1,10,47,32,9,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.072423,0.038997,0.056267,0.074652,0.030084,FALSE,FALSE,TRUE,FALSE,FALSE
347,26010,0.000375349,14700.45834,11309.54166,,,,,,,,0,5,0.093118,12/19/2022,,slate,548,,2422,6,14,33,27,13,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.049025,0.062396,0.088579,0.072423,0.102507,FALSE,FALSE,TRUE,FALSE,TRUE
346,22166,0.000378606,14828.01109,7337.988912,,,,,,,,0,5,0.095101,12/18/2022,,taper,547,,2108,0,8,28,30,20,11,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.072423,0.088579,0.035655,0.102507,0.074652,FALSE,TRUE,FALSE,TRUE,FALSE
345,22336,0.000381892,14956.69834,7379.301664,,,,,,,,0,5,0.093481,12/17/2022,,chord,546,,2088,0,7,39,38,13,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.039554,0.038997,0.074095,0.074652,0.030084,FALSE,FALSE,TRUE,FALSE,FALSE
344,22853,0.000385207,15086.53051,7766.469486,,,,,,,,0,5,0.094517,12/16/2022,,probe,545,,2160,0,6,24,32,24,11,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.035655,0.074652,0.074095,0.01727,0.102507,FALSE,FALSE,TRUE,FALSE,TRUE
343,22176,0.000388551,15217.51815,6958.481849,,,,,,,,0,5,0.095915,12/15/2022,,rival,544,,2127,0,7,27,35,22,8,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.074652,0.056267,0.013928,0.088579,0.062396,FALSE,TRUE,FALSE,TRUE,FALSE
342,20824,0.000391925,15349.67188,5474.328117,,,,,,,,1,4,0.098348,12/14/2022,,usual,543,,2048,0,3,20,39,27,10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.035655,0.049025,0.035655,0.088579,0.062396,TRUE,FALSE,TRUE,TRUE,FALSE
341,24101,0.00039533,15483.00244,8617.997558,,,,,,,,0,5,0.092278,12/13/2022,,spoke,542,,2224,0,6,31,38,19,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.049025,0.035655,0.074095,0.019499,0.102507,FALSE,FALSE,TRUE,FALSE,TRUE
340,22873,0.000398765,15617.52067,7255.479331,,,,,,,,1,4,0.093997,12/12/2022,,apply,541,,2150,0,5,28,38,22,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.088579,0.035655,0.035655,0.062396,0.033983,TRUE,FALSE,FALSE,FALSE,TRUE
339,21947,0.00040223,15753.23751,6193.762494,,,,,,,,1,4,0.094546,12/11/2022,,naïve,540,,2075,1,7,24,32,24,11,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.049025,0.088579,0.000557,0.013928,0.102507,FALSE,TRUE,FALSE,FALSE,TRUE
338,21157,0.000405726,15890.164,5266.835997,,,,,,,,1,4,0.096469,12/10/2022,,knock,539,,2041,0,3,18,43,27,8,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.019499,0.049025,0.074095,0.039554,0.019499,FALSE,FALSE,TRUE,FALSE,FALSE
337,23640,0.000409253,16028.31132,7611.688685,,,,,,,,0,5,0.091582,12/9/2022,,braid,538,,2165,0,10,36,35,14,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01727,0.074652,0.088579,0.056267,0.030084,FALSE,FALSE,TRUE,TRUE,FALSE
336,21199,0.000412812,16167.69071,5031.309294,,,,,,,,0,5,0.087882,12/8/2022,,infer,537,,1863,0,3,19,33,26,14,3,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.056267,0.049025,0.018384,0.102507,0.074652,TRUE,FALSE,FALSE,TRUE,FALSE
335,24899,0.000416403,16308.31355,8590.68645,,,,,,,,0,5,0.095907,12/7/2022,,joust,536,,2388,0,6,29,34,21,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0.002228,0.074095,0.035655,0.049025,0.072423,FALSE,TRUE,TRUE,FALSE,FALSE
334,23509,0.000420025,16450.19133,7058.808672,,,,,,,,0,5,0.096176,12/6/2022,,amber,535,,2261,0,6,22,33,24,12,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.088579,0.030641,0.01727,0.102507,0.074652,TRUE,FALSE,FALSE,TRUE,FALSE
333,23153,0.00042368,16593.33564,6559.664365,,,,,,,,0,5,0.09502,12/5/2022,,woken,534,,2200,0,2,10,25,36,23,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.016713,0.074095,0.019499,0.102507,0.049025,FALSE,TRUE,FALSE,TRUE,FALSE
332,25577,0.000427368,16737.75818,8839.241821,,,,,,,,0,5,0.093756,12/4/2022,,adore,533,,2398,2,17,32,29,15,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.088579,0.030084,0.074095,0.074652,0.102507,TRUE,FALSE,TRUE,FALSE,TRUE
331,23873,0.000431088,16883.47078,6989.529222,,,,,,,,1,4,0.094668,12/3/2022,,torso,532,,2260,0,4,35,36,17,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0.072423,0.074095,0.074652,0.049025,0.074095,FALSE,TRUE,FALSE,FALSE,TRUE
330,24646,0.000434842,17030.48537,7615.514631,,,,,,,,0,5,0.095066,12/2/2022,,chafe,531,,2343,0,6,30,33,19,9,2,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039554,0.038997,0.088579,0.018384,0.102507,FALSE,FALSE,TRUE,FALSE,TRUE
329,22628,0.000438629,17178.814,5449.185998,,,,,,,,1,4,0.097225,12/1/2022,,eject,530,,2200,0,2,11,35,36,14,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.102507,0.002228,0.102507,0.039554,0.072423,TRUE,FALSE,TRUE,FALSE,FALSE
327,23739,0.000446306,17479.46219,6259.537812,,,,,,,,1,4,0.097561,11/29/2022,,undue,528,,2316,0,3,19,35,29,13,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.035655,0.049025,0.030084,0.035655,0.102507,TRUE,FALSE,FALSE,TRUE,TRUE
326,26051,0.000450196,17631.80643,8419.193567,,,,,,,,0,5,0.095351,11/28/2022,,tepid,527,,2484,0,10,38,35,13,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.072423,0.102507,0.035655,0.056267,0.030084,FALSE,TRUE,FALSE,TRUE,FALSE
325,25206,0.00045412,17785.51411,7420.485889,,,,,,,,1,4,0.09347,11/27/2022,,happy,526,,2356,0,6,28,39,19,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.038997,0.088579,0.035655,0.035655,0.033983,FALSE,TRUE,FALSE,FALSE,TRUE
324,26381,0.00045808,17940.59787,8440.402131,,,,,,,,1,4,0.091884,11/26/2022,,clean,525,,2424,1,17,36,31,12,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.039554,0.062396,0.102507,0.088579,0.049025,FALSE,FALSE,TRUE,TRUE,FALSE
323,24197,0.000462075,18097.07048,6099.929518,,,,,,,,0,5,0.096252,11/25/2022,,itchy,524,,2329,0,8,28,40,18,5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.056267,0.072423,0.039554,0.038997,0.033983,TRUE,FALSE,FALSE,FALSE,TRUE
322,27705,0.000466106,18254.94485,9450.055153,,,,,,,,0,5,0.098358,11/24/2022,,feast,523,,2725,5,13,25,27,19,10,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.018384,0.102507,0.088579,0.049025,0.072423,FALSE,TRUE,TRUE,FALSE,FALSE
