,0,1
0,manly,6
1,molar,6
2,havoc,1
3,impel,0
4,condo,11
5,judge,8
6,extra,0
7,poise,6
8,aorta,5
9,excel,1
10,lunar,2
11,third,0
12,slate,9
13,taper,12
14,chord,3
15,probe,5
16,rival,2
17,usual,0
18,spoke,6
19,apply,3
20,naive,2
21,knock,2
22,braid,2
23,infer,5
24,joust,3
25,amber,4
26,woken,5
27,adore,5
28,torso,1
29,chafe,4
30,eject,2
31,undue,0
32,tepid,0
33,happy,8
34,clean,6
35,itchy,0
36,feast,4
37,drive,1
38,prime,8
39,axiom,1
40,brave,8
41,avert,4
42,glyph,0
43,there,6
44,baker,17
45,snarl,3
46,maple,3
47,inane,0
48,valet,2
49,medal,4
50,unite,3
51,rainy,4
52,spell,8
53,begin,5
54,stale,18
55,dream,3
56,photo,2
57,aloud,1
58,inept,1
59,piney,6
60,aptly,1
61,waltz,1
62,libel,3
63,sneak,3
64,carry,15
65,flout,4
66,foggy,3
67,fault,5
68,mummy,8
69,spiel,4
70,grove,10
71,denim,2
72,quirk,3
73,exist,0
74,stein,7
75,spade,7
76,catch,8
77,floor,4
78,equal,0
79,ionic,4
80,valid,2
81,enjoy,1
82,howdy,4
83,vigor,3
84,dandy,17
85,sloth,4
86,marsh,4
87,bough,8
88,sting,9
89,twine,6
90,leave,5
91,scorn,4
92,scald,5
93,usurp,1
94,soggy,5
95,brisk,3
96,admit,1
97,grate,12
98,glory,2
99,saint,7
100,recap,1
101,alike,3
102,trice,12
103,stick,6
104,chute,1
105,parer,12
106,doubt,0
107,thyme,4
108,alpha,1
109,booze,3
110,tibia,0
111,lofty,3
112,theme,8
113,class,13
114,leery,2
115,taunt,5
116,whoop,2
117,inter,8
118,gully,9
119,charm,10
120,fungi,0
121,prize,4
122,onset,2
123,chief,3
124,gauze,2
125,ruder,7
126,irony,3
127,clown,3
128,needy,7
129,woven,4
130,merit,1
131,waste,6
132,treat,4
133,shrug,1
134,twang,6
135,twice,2
136,gruel,2
137,poker,9
138,khaki,2
139,hunky,8
140,label,7
141,glean,4
142,cling,11
143,patty,17
144,unfit,1
145,smear,3
146,alien,4
147,buggy,6
148,rhyme,1
149,youth,4
150,coyly,1
151,quart,2
152,cramp,5
153,bluff,1
154,upset,0
155,stomp,4
156,motto,7
157,cinch,7
158,elope,1
159,power,12
160,midge,4
161,tryst,3
162,aphid,1
163,trite,7
164,angry,1
165,flock,7
166,wacky,5
167,roomy,2
168,wedge,3
169,liver,15
170,bland,10
171,night,13
172,madam,2
173,berth,8
174,stead,5
175,voice,2
176,agape,2
177,fluff,1
178,field,4
179,sever,10
180,lilac,1
181,egret,0
182,pinto,7
183,hutch,9
184,gawky,0
185,droll,5
186,retro,4
187,rusty,6
188,beady,6
189,smite,7
190,brink,8
191,awful,0
192,gloat,3
193,input,0
194,loser,8
195,cacao,1
196,blown,4
197,apron,5
198,primo,3
199,atone,2
200,donor,4
201,float,3
202,goose,11
203,piety,2
204,girth,5
205,trait,4
206,flood,3
207,gloom,2
208,depth,2
209,froth,7
210,peach,7
211,showy,4
212,creak,8
213,manor,8
214,atoll,1
215,bayou,0
216,crept,4
217,tiara,3
218,asset,5
219,vouch,3
220,album,1
221,hinge,5
222,money,12
223,scrap,3
224,gamer,9
225,glass,7
226,scour,3
227,being,3
228,delve,1
229,yield,3
230,metal,4
231,tipsy,3
232,slung,7
233,farce,3
234,gecko,1
235,shine,17
236,canny,10
237,midst,1
238,badge,3
239,homer,11
240,train,8
241,hairy,4
242,story,4
243,forgo,3
244,larva,1
245,trash,5
246,zesty,1
247,shown,5
248,heist,4
249,askew,2
250,inert,1
251,olive,5
252,plant,8
253,oxide,0
254,cargo,5
255,foyer,7
256,flair,3
257,ample,3
258,cheek,5
259,shame,12
260,mince,5
261,chunk,6
262,royal,2
263,squad,3
264,black,8
265,stair,4
266,scare,11
267,foray,3
268,comma,6
269,natal,6
270,shawl,3
271,fewer,5
272,trope,5
273,snout,5
274,lowly,2
275,stove,8
276,shall,9
277,found,9
278,nymph,1
279,epoxy,0
280,depot,0
281,chest,4
282,purge,5
283,slosh,4
284,their,3
285,renew,1
286,allow,4
287,saute,4
288,movie,4
289,cater,14
290,tease,6
291,smelt,2
292,focus,4
293,today,2
294,watch,8
295,lapse,1
296,month,5
297,sweet,8
298,hoard,4
299,cloth,2
300,brine,11
301,ahead,1
302,mourn,2
303,nasty,4
304,rupee,0
305,choke,6
306,chant,5
307,spill,8
308,vivid,2
309,bloke,4
310,trove,6
311,thorn,3
312,other,4
313,tacit,0
314,swill,8
315,dodge,5
316,shake,13
317,caulk,2
318,aroma,2
319,cynic,1
320,robin,8
321,ultra,0
322,ulcer,1
323,pause,5
324,humor,2
325,frame,2
326,elder,8
327,skill,5
328,aloft,0
329,pleat,4
330,shard,8
331,moist,4
332,those,5
333,light,12
334,wrung,4
335,could,4
336,perky,8
337,mount,4
338,whack,2
339,sugar,2
340,knoll,3
341,crimp,5
342,wince,4
343,prick,7
344,robot,0
345,point,3
346,proxy,0
347,shire,12
348,solar,9
349,panic,3
350,tangy,6
351,abbey,1
352,favor,1
353,drink,4
354,query,0
355,gorge,5
356,crank,9
357,slump,5
