middle3Letters,last4,first3Letters,last2Letters,first2Letters,last3Letters,percentHardMode,Date,ContestNumber,Word,ReportedResults,NumberInHardMode,1Try,2Tries,3Tries,4Tries,5Tries,6Tries,7Tries,containsA,containsb,containsc,containsd,containse,containsf,containsg,containsh,containsi,containsj,containsk,containsl,containsm,containsn,containso,containsp,containsq,containsr,containss,containst,containsu,containsv,containsw,containsx,containsy,containsz,ProbabilityLetter1,ProbabilityLetter2,ProbabilityLetter3,ProbabilityLetter4,ProbabilityLetter5,Letter1Vowel,Letter2Vowel,Letter3Vowel,Letter4Vowel,Letter5Vowel,commonTri,CommonTrigrams
lan,land,bla,nd,bl,and,0.080591,2022-07-13,389,bland,46246,3727,0,7,31,38,18,4,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.017270,0.062396,0.088579,0.049025,0.030084,False,False,True,False,False,1,and
ein,eing,bei,ng,be,ing,0.072707,2022-05-17,332,being,70722,5142,0,4,22,37,26,10,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.017270,0.102507,0.056267,0.049025,0.028412,False,True,True,False,False,1,ing
lin,ling,cli,ng,cl,ing,0.087959,2022-08-10,417,cling,37654,3312,0,4,20,34,27,13,2,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.039554,0.062396,0.056267,0.049025,0.028412,False,False,True,False,False,1,ing
tin,ting,sti,ng,st,ing,0.091954,2022-10-03,471,sting,32288,2969,1,10,30,33,18,8,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.049025,0.072423,0.056267,0.049025,0.028412,False,False,True,False,False,1,ing
inc,ince,win,ce,wi,nce,0.028366,2022-01-22,217,wince,241489,6850,1,3,17,33,29,15,3,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.016713,0.056267,0.049025,0.039554,0.102507,False,True,False,False,True,1,nce
inc,ince,min,ce,mi,nce,0.064840,2022-04-14,299,mince,113448,7356,0,6,24,35,24,10,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.030641,0.056267,0.049025,0.039554,0.102507,False,True,False,False,True,1,nce
lof,loft,alo,ft,al,oft,0.042878,2022-02-05,231,aloft,319698,13708,1,4,22,36,25,11,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.088579,0.062396,0.074095,0.018384,0.072423,True,False,True,False,False,1,oft
epi,epid,tep,id,te,pid,0.095351,2022-11-28,527,tepid,26051,2484,0,10,38,35,13,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.072423,0.102507,0.035655,0.056267,0.030084,False,True,False,True,False,0,
hun,hunk,chu,nk,ch,unk,0.063567,2022-04-13,298,chunk,123255,7835,1,4,29,42,18,5,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.039554,0.038997,0.035655,0.049025,0.019499,False,False,True,False,False,0,
phi,phid,aph,id,ap,hid,0.086143,2022-07-21,397,aphid,39086,3367,0,6,24,36,23,9,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.088579,0.035655,0.038997,0.056267,0.030084,True,False,False,True,False,0,
rin,rine,bri,ne,br,ine,0.045260,2022-03-05,259,brine,229895,10405,1,9,25,29,22,12,3,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.017270,0.074652,0.056267,0.049025,0.102507,False,False,True,False,True,0,
hin,hine,shi,ne,sh,ine,0.069109,2022-05-09,324,shine,88932,6146,1,14,32,30,17,6,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.049025,0.038997,0.056267,0.049025,0.102507,False,False,True,False,True,0,
